id,car_brand,car_registration_year,car_eng_pow,customer_age,postal_code,claim_amount,policy_id,marital_status,file_Name,policy_start,policy_end,car_age,car_age_group,car_eng_pow_group,customer_age_group,exposure
44,Porsche,1992,364.0,43.0,4325,2036.5,P27183,Single,task_data_1.csv,2020-05-23,2021-02-23,30.4,"[9.4, 35.4)",250+,"[40, 50)",0.7556623339288281
45,Ford,2007,113.0,23.0,,1405.21,P93900,Single,task_data_1.csv,2019-09-27,2021-05-16,15.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
46,Lexus,2012,63.0,28.0,36780,100.41,P65830,Single,task_data_1.csv,2019-07-04,2021-07-07,10.4,"[9.4, 35.4)",0-100,"[20, 30)",1.0
47,BMW,2003,312.0,79.0,,1230.9,P11397,Married,task_data_1.csv,2019-09-29,2022-01-10,19.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
48,Volkswagen,1986,397.0,36.0,,2462.21,P06815,Married,task_data_1.csv,2019-09-19,2021-01-07,36.4,"[35.4, 61.4)",250+,"[30, 40)",1.0
49,Chevrolet,2001,182.0,19.0,8300,750.12,P12102,Married,task_data_1.csv,2019-12-05,2021-04-15,21.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
50,Mercury,1967,368.0,26.0,12907,0.0,P23400,Single,task_data_1.csv,2020-08-23,2021-02-11,55.4,"[35.4, 61.4)",250+,"[20, 30)",0.0
51,Audi,2001,144.0,55.0,99871,2374.53,P00993,Married,task_data_1.csv,2019-02-01,2021-12-23,21.4,"[9.4, 35.4)",100-250,"[50, 60)",1.0
52,Mercedes-Benz,2011,277.0,42.0,,1222.34,P84944,Single,task_data_1.csv,2019-03-31,2021-01-25,11.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
53,Nissan,2005,442.0,53.0,,1827.34,P73825,Single,task_data_1.csv,2019-10-24,2021-03-14,17.4,"[9.4, 35.4)",250+,"[50, 60)",1.0
54,Dodge,2009,316.0,68.0,8736,460.68,P25703,Married,task_data_1.csv,2020-04-05,2021-11-13,13.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
55,Volkswagen,2000,299.0,28.0,,565.02,P13259,Married,task_data_1.csv,2019-10-21,2021-01-24,22.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
56,Nissan,1993,107.0,70.0,39180,1006.63,P52049,Married,task_data_1.csv,2020-10-03,2021-09-11,29.4,"[9.4, 35.4)",100-250,"[70, 80)",0.9391021033970581
57,Mazda,1985,489.0,53.0,,139.72,P42730,Single,task_data_1.csv,2020-10-01,2021-02-27,37.4,"[35.4, 61.4)",250+,"[50, 60)",0.40794814404128765
58,Acura,2003,499.0,21.0,68137,2042.5,P03803,Single,task_data_1.csv,2019-08-07,2021-07-22,19.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
59,Chrysler,2009,229.0,62.0,6513,2088.8,P53719,Married,task_data_1.csv,2019-09-26,2021-10-09,13.4,"[9.4, 35.4)",100-250,"[60, 70)",1.0
60,Nissan,1996,449.0,30.0,,934.06,P50951,Married,task_data_1.csv,2020-04-06,2021-04-24,26.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
61,Toyota,1994,50.0,21.0,27944,967.17,P44074,Married,task_data_1.csv,2019-03-21,2021-05-19,28.4,"[9.4, 35.4)",0-100,"[20, 30)",1.0
62,GMC,2008,386.0,54.0,,971.13,P14206,Single,task_data_1.csv,2020-10-13,2021-07-21,14.4,"[9.4, 35.4)",250+,"[50, 60)",0.7693518689637706
63,Lotus,2007,276.0,86.0,V9L,1580.23,P47204,Single,task_data_1.csv,2020-09-25,2021-11-25,15.4,"[9.4, 35.4)",250+,"[80, 90)",1.0
64,Chevrolet,1996,254.0,39.0,,761.21,P74319,Married,task_data_1.csv,2020-09-07,2021-05-21,26.4,"[9.4, 35.4)",250+,"[30, 40)",0.700904193789058
65,Toyota,1978,99.0,66.0,,2036.66,P24956,Married,task_data_1.csv,2020-07-09,2021-06-05,44.4,"[35.4, 61.4)",0-100,"[60, 70)",0.9062472193131961
66,BMW,2004,168.0,43.0,51000,878.96,P12686,Married,task_data_1.csv,2019-11-29,2021-03-31,18.4,"[9.4, 35.4)",100-250,"[40, 50)",1.0
67,Toyota,2001,91.0,89.0,,1683.5,P43280,Married,task_data_1.csv,2019-09-11,2021-10-03,21.4,"[9.4, 35.4)",0-100,"[80, 90)",1.0
68,Acura,1993,360.0,97.0,75235CEDEX05,490.09,P87602,Married,task_data_1.csv,2020-03-13,2021-07-02,29.4,"[9.4, 35.4)",250+,"[90, 100)",1.0
69,Mitsubishi,1994,246.0,23.0,,0.0,P90822,Single,task_data_1.csv,2019-09-11,2022-02-24,28.4,"[9.4, 35.4)",100-250,"[20, 30)",0.0
70,Lexus,1997,342.0,73.0,140704,2037.14,P25962,Married,task_data_1.csv,2019-11-12,2021-03-02,25.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
71,Dodge,2008,377.0,48.0,,1494.56,P54120,Married,task_data_1.csv,2020-09-16,2021-02-02,14.4,"[9.4, 35.4)",250+,"[40, 50)",0.38056907397140255
72,Ford,1996,73.0,31.0,,805.63,P57233,Single,task_data_1.csv,2019-11-09,2021-11-21,26.4,"[9.4, 35.4)",0-100,"[30, 40)",1.0
73,Dodge,2002,452.0,21.0,28425,1498.57,P62908,Single,task_data_1.csv,2020-07-01,2021-01-01,20.4,"[9.4, 35.4)",250+,"[20, 30)",0.5037748892858854
74,Volkswagen,2005,229.0,91.0,44315,575.88,P93356,Single,task_data_1.csv,2020-12-24,2022-02-12,17.4,"[9.4, 35.4)",100-250,"[90, 100)",1.0
75,Geo,1992,143.0,82.0,24120,1257.32,P90503,Single,task_data_1.csv,2019-04-07,2021-03-29,30.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
76,Acura,2005,190.0,35.0,74640,586.46,P91011,Married,task_data_1.csv,2019-08-28,2021-05-18,17.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
77,Plymouth,1999,469.0,57.0,88084CEDEX9,1172.21,P85894,Married,task_data_1.csv,2020-06-12,2021-09-29,23.4,"[9.4, 35.4)",250+,"[50, 60)",1.0
78,Saturn,2007,288.0,24.0,612730,1120.4,P32649,Single,task_data_1.csv,2020-02-15,2021-10-15,15.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
79,Infiniti,1994,436.0,17.0,,790.25,P65700,Married,task_data_1.csv,2019-06-19,2021-10-10,28.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
80,Cadillac,2012,442.0,37.0,6118,1980.72,P50930,Married,task_data_1.csv,2019-02-18,2021-04-28,10.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
81,Honda,2005,218.0,17.0,,59.04,P44094,Married,task_data_1.csv,2019-04-19,2021-04-11,17.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
82,Cadillac,2004,259.0,31.0,47719,0.0,P24239,Single,task_data_1.csv,2019-04-04,2021-07-24,18.4,"[9.4, 35.4)",250+,"[30, 40)",0.0
83,Plymouth,2000,-1.0,-1.0,,1823.68,P93924,Married,task_data_1.csv,2019-08-26,2021-12-09,22.4,"[9.4, 35.4)",,"[20, 30)",1.0
84,BMW,2006,376.0,79.0,,521.77,P94263,Single,task_data_1.csv,2019-12-01,2022-02-02,16.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
85,Ferrari,2009,-1.0,-1.0,,1848.6,P86513,Single,task_data_1.csv,2020-03-27,2021-11-17,13.4,"[9.4, 35.4)",,"[20, 30)",1.0
86,Lincoln,2003,352.0,75.0,,0.0,P40444,Single,task_data_1.csv,2020-04-24,2022-02-25,19.4,"[9.4, 35.4)",250+,"[70, 80)",0.0
87,Audi,1989,-1.0,-1.0,,1642.33,P92430,Single,task_data_1.csv,2020-01-06,2022-01-10,33.4,"[9.4, 35.4)",,"[20, 30)",1.0
88,Nissan,2004,453.0,31.0,,999.64,P74484,Single,task_data_1.csv,2020-09-02,2022-02-09,18.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
89,Mitsubishi,1990,250.0,100.0,,505.7,P37029,Single,task_data_1.csv,2020-06-05,2021-08-19,32.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
90,Oldsmobile,1992,371.0,48.0,,1989.37,P26271,Single,task_data_1.csv,2019-08-05,2021-10-03,30.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
91,Hyundai,2008,403.0,87.0,,943.8,P24113,Married,task_data_1.csv,2019-02-12,2021-01-26,14.4,"[9.4, 35.4)",250+,"[80, 90)",1.0
92,Chevrolet,1994,420.0,20.0,,689.61,P91148,Married,task_data_1.csv,2019-08-26,2022-01-17,28.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
93,Toyota,2000,57.0,92.0,,2065.56,P22605,Married,task_data_1.csv,2019-04-01,2021-05-12,22.4,"[9.4, 35.4)",0-100,"[90, 100)",1.0
94,Cadillac,1999,190.0,31.0,47420,1069.32,P51171,Single,task_data_1.csv,2020-10-17,2021-01-07,23.4,"[9.4, 35.4)",100-250,"[30, 40)",0.22450837457305764
95,Bentley,2009,285.0,16.0,,1973.69,P06006,Married,task_data_1.csv,2020-04-09,2021-10-07,13.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
96,Jaguar,2006,410.0,53.0,92905,1360.43,P02943,Single,task_data_1.csv,2020-11-08,2021-09-13,16.4,"[9.4, 35.4)",250+,"[50, 60)",0.8460132651594489
97,Mitsubishi,1994,436.0,23.0,,559.74,P33021,Single,task_data_1.csv,2019-07-12,2021-02-16,28.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
98,Pontiac,1985,294.0,34.0,,1388.63,P73426,Single,task_data_1.csv,2020-01-01,2021-04-19,37.4,"[35.4, 61.4)",250+,"[30, 40)",1.0
99,Scion,2008,244.0,72.0,,2102.5,P17527,Single,task_data_1.csv,2019-02-28,2022-02-17,14.4,"[9.4, 35.4)",100-250,"[70, 80)",1.0
100,Mercedes-Benz,2000,249.0,61.0,,1346.74,P09130,Single,task_data_1.csv,2019-10-01,2021-11-24,22.4,"[9.4, 35.4)",100-250,"[60, 70)",1.0
101,Kia,2012,224.0,82.0,,603.34,P60805,Single,task_data_1.csv,2019-10-26,2021-12-30,10.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
102,Buick,1995,135.0,69.0,29905,1311.33,P76506,Single,task_data_1.csv,2019-05-10,2021-03-30,27.4,"[9.4, 35.4)",100-250,"[60, 70)",1.0
103,Chrysler,1993,388.0,28.0,,265.26,P64422,Single,task_data_1.csv,2019-10-21,2022-02-05,29.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
104,Ford,2002,409.0,75.0,,1506.74,P32174,Married,task_data_1.csv,2019-07-17,2021-07-26,20.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
104,Ford,2002,409.0,75.0,,1506.74,P32174,Married,task_data_1.csv,2019-03-19,2021-08-02,20.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
105,Hyundai,2006,250.0,97.0,,942.79,P36802,Single,task_data_1.csv,2019-08-22,2021-09-14,16.4,"[9.4, 35.4)",250+,"[90, 100)",1.0
106,Subaru,2010,222.0,49.0,,1141.96,P94049,Married,task_data_1.csv,2020-11-15,2021-05-24,12.4,"[9.4, 35.4)",100-250,"[40, 50)",0.5202023313278165
107,Pontiac,1985,208.0,43.0,,762.55,P53065,Single,task_data_1.csv,2019-04-15,2021-05-22,37.4,"[35.4, 61.4)",100-250,"[40, 50)",1.0
108,Mercury,1997,382.0,70.0,,0.0,P19141,Single,task_data_1.csv,2019-12-04,2021-03-05,25.4,"[9.4, 35.4)",250+,"[70, 80)",0.0
108,Mercury,1997,382.0,70.0,,0.0,P19141,Single,task_data_1.csv,2020-10-11,2021-04-06,25.4,"[9.4, 35.4)",250+,"[70, 80)",0.0
109,BMW,2006,242.0,29.0,80243,2016.34,P88455,Married,task_data_1.csv,2020-02-16,2022-02-02,16.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
110,Ford,2013,108.0,35.0,,2201.03,P19169,Single,task_data_1.csv,2020-08-21,2022-01-28,9.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
111,Land Rover,2009,338.0,53.0,,412.66,P66068,Single,task_data_1.csv,2020-03-08,2021-10-03,13.4,"[9.4, 35.4)",250+,"[50, 60)",1.0
112,Chevrolet,2007,491.0,42.0,60306,317.67,P51581,Married,task_data_1.csv,2019-08-23,2021-05-05,15.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
113,Volkswagen,1987,366.0,20.0,,169.39,P66950,Married,task_data_1.csv,2019-10-30,2021-02-14,35.4,"[35.4, 61.4)",250+,"[20, 30)",1.0
114,Mazda,1992,164.0,52.0,7630,858.65,P89872,Single,task_data_1.csv,2019-04-29,2021-09-27,30.4,"[9.4, 35.4)",100-250,"[50, 60)",1.0
115,Audi,1994,64.0,16.0,15207,1591.92,P02855,Married,task_data_1.csv,2020-01-21,2021-06-02,28.4,"[9.4, 35.4)",0-100,"[20, 30)",1.0
116,Lexus,1998,89.0,26.0,63210,862.52,P20645,Single,task_data_1.csv,2019-09-21,2021-09-01,24.4,"[9.4, 35.4)",0-100,"[20, 30)",1.0
117,Hyundai,2010,292.0,53.0,357247,89.47,P95208,Married,task_data_1.csv,2020-09-07,2021-12-27,12.4,"[9.4, 35.4)",250+,"[50, 60)",1.0
118,Honda,2006,62.0,67.0,,175.92,P56056,Married,task_data_1.csv,2019-12-20,2021-09-06,16.4,"[9.4, 35.4)",0-100,"[60, 70)",1.0
119,GMC,1992,400.0,37.0,,2397.45,P75255,Married,task_data_1.csv,2020-10-16,2021-09-26,30.4,"[9.4, 35.4)",250+,"[30, 40)",0.9445779174110351
120,Mazda,1994,244.0,26.0,2259,1588.46,P99235,Single,task_data_1.csv,2020-10-18,2021-03-19,28.4,"[9.4, 35.4)",100-250,"[20, 30)",0.41616186506225317
121,Infiniti,2012,102.0,25.0,,2051.0,P79306,Married,task_data_1.csv,2019-07-22,2021-08-01,10.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
122,Maserati,2010,96.0,39.0,,1018.57,P07789,Single,task_data_1.csv,2020-02-13,2021-08-28,12.4,"[9.4, 35.4)",0-100,"[30, 40)",1.0
123,Ford,1991,278.0,20.0,,1296.3,P10147,Single,task_data_1.csv,2019-08-05,2022-02-01,31.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
124,Mazda,1998,119.0,26.0,,1522.62,P16152,Single,task_data_1.csv,2019-12-23,2021-11-23,24.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
125,Dodge,2008,305.0,23.0,684058,1966.31,P32128,Married,task_data_1.csv,2019-11-20,2021-05-02,14.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
126,Honda,2012,227.0,99.0,,1185.9,P97463,Single,task_data_1.csv,2020-07-11,2022-01-29,10.4,"[9.4, 35.4)",100-250,"[90, 100)",1.0
127,Mitsubishi,2009,198.0,32.0,,1802.36,P10624,Single,task_data_1.csv,2019-07-17,2021-10-02,13.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
128,Acura,2003,242.0,25.0,H3R,1167.07,P14331,Married,task_data_1.csv,2019-03-09,2021-04-04,19.4,"[9.4, 35.4)",100-250,"[20, 30)",1.0
129,Ford,1993,446.0,16.0,,659.9,P38233,Married,task_data_1.csv,2020-11-15,2021-04-07,29.4,"[9.4, 35.4)",250+,"[20, 30)",0.39152070199935657
130,GMC,2012,487.0,17.0,,1464.53,P91612,Married,task_data_1.csv,2020-01-14,2021-06-01,10.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
131,Toyota,1993,363.0,93.0,60028,1562.84,P04482,Married,task_data_1.csv,2020-02-16,2022-01-16,29.4,"[9.4, 35.4)",250+,"[90, 100)",1.0
132,Mercedes-Benz,2007,365.0,29.0,,1745.07,P53155,Married,task_data_1.csv,2019-03-11,2021-09-01,15.4,"[9.4, 35.4)",250+,"[20, 30)",1.0
133,Chrysler,1992,229.0,32.0,,116.59,P61109,Married,task_data_1.csv,2020-05-16,2021-12-27,30.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
134,Suzuki,2009,177.0,40.0,,1914.35,P62718,Single,task_data_1.csv,2019-04-16,2021-08-10,13.4,"[9.4, 35.4)",100-250,"[40, 50)",1.0
135,Dodge,1999,109.0,44.0,,1571.3,P81799,Single,task_data_1.csv,2019-02-16,2021-05-16,23.4,"[9.4, 35.4)",100-250,"[40, 50)",1.0
136,Mazda,1988,294.0,30.0,,1522.31,P86201,Single,task_data_1.csv,2019-06-22,2021-09-21,34.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
137,Saab,1998,422.0,85.0,67501,0.0,P03606,Single,task_data_1.csv,2019-05-31,2022-01-21,24.4,"[9.4, 35.4)",250+,"[80, 90)",0.0
138,Nissan,2007,204.0,40.0,,1545.06,P66240,Single,task_data_1.csv,2019-08-22,2021-10-01,15.4,"[9.4, 35.4)",100-250,"[40, 50)",1.0
139,Volvo,2013,159.0,48.0,,510.7,P12813,Single,task_data_1.csv,2019-10-25,2021-11-19,9.4,"[9.4, 35.4)",100-250,"[40, 50)",1.0
140,Nissan,1996,462.0,92.0,,2203.28,P84964,Single,task_data_1.csv,2020-06-28,2021-09-27,26.4,"[9.4, 35.4)",250+,"[90, 100)",1.0
141,Mercury,1997,199.0,83.0,94675CEDEX,609.57,P02678,Single,task_data_1.csv,2019-08-23,2021-01-21,25.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
142,Volkswagen,2009,186.0,88.0,,813.61,P31184,Single,task_data_1.csv,2019-12-13,2021-12-12,13.4,"[9.4, 35.4)",100-250,"[80, 90)",1.0
143,Alfa Romeo,1993,59.0,23.0,9200,1934.36,P71933,Married,task_data_1.csv,2019-10-15,2021-06-04,29.4,"[9.4, 35.4)",0-100,"[20, 30)",1.0
144,Buick,2007,154.0,84.0,5914,0.0,P76260,Single,task_data_1.csv,2019-12-28,2021-09-03,15.4,"[9.4, 35.4)",100-250,"[80, 90)",0.0
145,Lexus,2005,142.0,32.0,,2020.51,P42075,Single,task_data_1.csv,2019-09-15,2021-02-27,17.4,"[9.4, 35.4)",100-250,"[30, 40)",1.0
146,Mazda,1996,274.0,68.0,,2247.19,P92586,Single,task_data_1.csv,2019-09-19,2021-06-16,26.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
147,Mazda,2002,250.0,41.0,5531,1831.41,P90889,Single,task_data_1.csv,2019-11-16,2021-02-28,20.4,"[9.4, 35.4)",250+,"[40, 50)",1.0
148,Ford,1998,280.0,76.0,160555,2472.07,P55809,Married,task_data_1.csv,2020-04-07,2022-01-03,24.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
149,Chevrolet,1993,442.0,67.0,13548CEDEX,1146.27,P99599,Single,task_data_1.csv,2019-08-17,2022-02-03,29.4,"[9.4, 35.4)",250+,"[60, 70)",1.0
150,BMW,2001,227.0,75.0,,604.7,P30977,Married,task_data_1.csv,2019-03-05,2021-06-12,21.4,"[9.4, 35.4)",100-250,"[70, 80)",1.0
151,GMC,1998,149.0,59.0,,1912.82,P26415,Married,task_data_1.csv,2020-10-25,2021-09-29,24.4,"[9.4, 35.4)",100-250,"[50, 60)",0.9281504753691041
152,Toyota,2013,257.0,39.0,,488.52,P85477,Married,task_data_1.csv,2019-06-12,2021-04-29,9.4,"[9.4, 35.4)",250+,"[30, 40)",1.0
153,Mercedes-Benz,2009,386.0,74.0,19001,220.8,P03221,Married,task_data_1.csv,2020-09-29,2021-11-11,13.4,"[9.4, 35.4)",250+,"[70, 80)",1.0
154,Plymouth,1999,464.0,25.0,,1931.36,P42127,Married,task_data_1.csv,2020-07-01,2021-04-26,23.4,"[9.4, 35.4)",250+,"[20, 30)",0.8186341950895638
155,Infiniti,2007,275.0,83.0,,1457.45,P84873,Single,task_data_1.csv,2019-06-16,2021-05-23,15.4,"[9.4, 35.4)",250+,"[80, 90)",1.0
